UNITID,INSTNM,INSTURL,LATITUDE,LONGITUDE,ADM_RATE,Rank,SATVR25,SATVR75,SATMT25,SATMT75,SATWR25,SATWR75,SATVRMID,SATMTMID,SATWRMID,ACTCM25,ACTCM75,ACTEN25,ACTEN75,ACTMT25,ACTMT75,ACTWR25,ACTWR75,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,COSTT4_A,UGDS_MEN,UGDS_WOMEN,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS,Arrest,zip,Arrest.scale
100858,Auburn University,www.auburn.edu,32.604685,-85.482782,0.8347,103,520,630,530,645,520,610,575,588,565,24,30,24,32,23,28,6,8,27,28,26,7,1215,0.0448,0.0178,0.0221,0,0.0573,0,0.006,0,0.0921,0.1637,0,0.0089,0.0366,0,0.0127,0,0,0.0934,0.0089,0,0.0219,0,0.0013,0,0.0123,0,0.0404,0,0.0178,0.0495,0,0,0,0,0.0361,0.0491,0.1949,0.0125,25282,0.5103,0.4897,0.8507,0.0704,0.0248,0.0227,0.0074,0,20514,58,36849,0.064516129
102094,University of South Alabama,www.southalabama.edu,30.695081,-88.18189,0.8335,258,450,570,450,585,430,540,510,518,485,20,25,20,27,18,25,6,8,23,24,22,7,1048,0,0,0,0,0.039,0,0.028,0,0.0874,0.0714,0,0.005,0,0,0.0105,0,0,0.0614,0.004,0,0.0435,0.02,0.0045,0,0.022,0,0.032,0.0285,0.015,0.0235,0,0,0,0,0.0445,0.3437,0.1009,0.0155,18525,0.4388,0.5612,0.6149,0.2374,0.0276,0.0345,0.0065,0.0013,11267,26,36688,0.028921023
104179,University of Arizona,www.arizona.edu,32.232071,-110.950769,0.7462,121,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0144,0.0116,0.0185,0.008,0.0422,0,0.0187,0,0.0443,0.0598,0.0061,0.0317,0.0262,0,0.0262,0,0,0.0992,0.0116,0,0.0651,0,0.0122,0,0.0251,0.0063,0.0791,0.0019,0.0195,0.0929,0,0,0,0,0.0499,0.0604,0.1505,0.0182,24617,0.4788,0.5212,0.5323,0.0355,0.2535,0.0555,0.0115,0.0027,32646,215,85721,0.239154616
105330,Northern Arizona University,nau.edu/,35.180095,-111.657653,0.8099,228,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.0338,0,0.002,0.0521,0,0.005,0,0.1284,0.0376,0,0.0051,0,0.0009,0.0272,0.107,0,0.0528,0.0057,0,0.0083,0.0345,0.0022,0,0.0183,0.0215,0.046,0,0.0125,0.0681,0,0,0,0,0.0316,0.1059,0.1875,0.0062,22561,0.4238,0.5762,0.6109,0.0336,0.2034,0.0165,0.0272,0.0025,23189,143,86011,0.159065628
106397,University of Arkansas,www.uark.edu,36.06153,-94.178214,0.6204,135,500,610,510,620,NULL,NULL,555,565,NULL,23,28,23,30,23,27,NULL,NULL,26,27,25,NULL,1155,0.0417,0.0074,0.0179,0.0008,0.0732,0,0.0113,0,0.0433,0.096,0,0.0123,0.0512,0,0.0189,0,0,0.0525,0.0067,0,0,0.0556,0.0018,0,0.0333,0,0.0343,0.0212,0.0131,0.0735,0,0,0,0,0.0338,0.0806,0.1979,0.0218,20350,0.4829,0.5171,0.7798,0.05,0.0692,0.0251,0.0117,0.0009,21405,198,72701,0.220244716
109785,Azusa Pacific University,www.apu.edu,34.130865,-117.88795,0.8183,173,490,540,490,540,480,530,515,515,505,21,24,21,24,21,24,8,8,23,23,23,8,1037,0,0,0,0.008,0.0544,0,0.0114,0,0.0418,0,0,0.0052,0,0,0.0343,0.0767,0,0.0177,0.0114,0,0,0,0.0057,0.0384,0.0069,0,0.0813,0,0.0206,0.0389,0,0,0,0,0.091,0.2295,0.2124,0.0143,45472,0.3535,0.6465,0.4714,0.0448,0.2614,0.0912,0.0019,0.0095,5918,4,91702,0.004449388
110097,Biola University,www.biola.edu,33.904823,-118.017342,0.754,161,490,620,490,620,490,610,555,555,550,22,28,21,29,21,27,NULL,NULL,25,25,24,NULL,1122,0,0.0021,0,0,0.1202,0,0.0064,0,0.0547,0.0021,0,0.0011,0,0,0.044,0.0097,0,0.0579,0.0075,0,0.0483,0.029,0.015,0.1084,0.0021,0,0.088,0,0,0.074,0,0,0,0,0.1202,0.0794,0.1159,0.0139,46162,0.3728,0.6272,0.5165,0.0209,0.1829,0.1613,0.0014,0.003,4364,1,90639,0.001112347
110316,California Institute of Integral Studies,www.ciis.edu,37.774768,-122.416537,NULL,271,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0.3462,0.6538,0.4423,0.1442,0.2212,0.0385,0.0096,0,104,0,94103,0
110404,California Institute of Technology,www.caltech.edu,34.139275,-118.12574,0.0883,10,730,800,770,800,730,790,765,785,760,34,35,34,35,35,36,NULL,NULL,35,35,36,NULL,1545,0,0,0,0,0,0,0.1777,0,0,0.3604,0,0,0,0,0,0,0,0.1269,0.1066,0,0,0,0,0,0.2234,0,0,0,0,0,0,0,0,0,0,0,0.0051,0,58755,0.6358,0.3642,0.2787,0.0153,0.1221,0.4385,0.001,0,983,0,91125,0
117140,University of La Verne,www.laverne.edu/,34.10086,-117.772634,0.4656,166,460,550,470,550,450,540,505,510,495,20,23,18,24,18,25,NULL,NULL,22,21,22,NULL,1014,0,0.0008,0,0,0.0511,0,0.0146,0,0.0308,0,0.0081,0.0008,0.0665,0.013,0.0178,0.0876,0,0.0195,0.0024,0,0,0,0.0008,0,0.0065,0,0.0779,0,0.0251,0.0989,0,0,0,0,0.0251,0.0195,0.4242,0.0089,47935,0.4267,0.5733,0.2389,0.065,0.4812,0.0526,0.0037,0.0047,5137,0,91750,0
120883,University of the Pacific,www.pacific.edu,37.980624,-121.307296,0.549,116,508,630,530,683,510,640,569,607,575,23,30,22,30,23,30,NULL,NULL,27,26,27,NULL,1185,0,0.0076,0,0.0346,0.0335,0,0.0368,0,0.0649,0.1178,0.0162,0.0076,0,0,0.027,0.0032,0,0.1059,0.0054,0,0.0389,0.0595,0.0043,0,0.0162,0,0.0443,0,0,0.0832,0,0,0,0,0.0551,0.0584,0.1676,0.0119,54032,0.4842,0.5158,0.2985,0.025,0.1817,0.3306,0.0058,0.006,3802,12,95211,0.013348165
121150,Pepperdine University,www.pepperdine.edu/,34.041912,-118.707677,0.3546,54,550,650,570,680,560,660,600,625,610,25,30,25,32,24,29,NULL,NULL,28,29,27,NULL,1234,0,0,0,0.0173,0.1636,0,0,0,0.005,0,0,0.005,0,0,0.0372,0.0248,0,0.0372,0.0112,0,0.0533,0.0458,0.0273,0,0.0062,0,0.0843,0,0,0.1004,0,0,0,0,0.0496,0,0.3222,0.0099,61164,0.4089,0.5911,0.4496,0.0606,0.134,0.1302,0.0044,0.0029,3434,1,90263,0.001112347
122409,San Diego State University,www.sdsu.edu,32.77525,-117.071228,0.3448,149,490,600,510,620,NULL,NULL,545,565,NULL,22,27,21,27,22,27,NULL,NULL,25,24,25,NULL,1115,0,0.003,0,0.0079,0.0279,0,0.0116,0,0.0193,0.0582,0.0037,0.0178,0,0,0.0688,0.0299,0,0.0398,0.0128,0,0.0113,0.0478,0.0075,0,0.0105,0,0.0844,0.0582,0.0315,0.1222,0,0,0,0,0.0463,0.0699,0.1971,0.0126,20631,0.4503,0.5497,0.3501,0.0362,0.3104,0.1326,0.0025,0.0026,27824,48,92182,0.053392659
122436,University of San Diego,www.sandiego.edu,32.77142,-117.188721,0.4625,95,560,650,570,670,560,660,605,620,610,26,30,25,32,25,30,8,9,28,29,28,9,1243,0,0.0117,0.0101,0.0023,0.0906,0,0.0023,0,0,0.0531,0,0.0078,0,0,0.039,0.0219,0,0.0757,0.0078,0,0,0,0.0062,0,0.0101,0,0.0687,0,0,0.1421,0,0,0,0,0.0203,0.0008,0.4137,0.0156,57593,0.448,0.552,0.5421,0.0299,0.1932,0.0647,0.005,0.003,5656,2,92110,0.002224694
122612,University of San Francisco,https://www.usfca.edu,37.775564,-122.450977,0.6005,106,510,620,530,630,510,620,565,580,565,23,28,23,29,23,27,8,9,26,26,25,9,1152,0,0.0159,0.0126,0.0027,0.1016,0.0007,0.0193,0,0,0,0,0.0053,0,0,0.0305,0,0,0.0445,0.008,0,0,0.0319,0.01,0.0053,0.0153,0,0.0717,0,0.0073,0.1089,0,0,0,0,0.0405,0.1135,0.334,0.0206,58039,0.3778,0.6222,0.2927,0.0307,0.1956,0.1984,0.0031,0.0059,6745,0,94117,0
123961,University of Southern California,www.usc.edu/,34.021058,-118.283858,0.1802,25,620,720,660,760,640,740,670,710,690,29,33,30,34,28,34,NULL,NULL,31,32,31,NULL,1380,0,0.0087,0.0286,0.0041,0.0941,0,0.0233,0,0,0.0965,0,0.0142,0,0,0.0156,0,0,0.0618,0.0112,0,0.0276,0.0053,0.013,0,0.0065,0,0.0416,0,0.0077,0.1265,0,0,0,0,0.1271,0.0337,0.2445,0.0085,62092,0.4945,0.5055,0.3644,0.0436,0.1353,0.225,0.0013,0.0017,18392,4,90089,0.004449388
125231,Walden University,www.waldenu.edu,44.98137,-93.265741,NULL,279,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0.0268,0,0.0384,0,0.0412,0,0,0,0.0625,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0.175,0.0501,0.0233,0,0,0,0,0,0,0.3974,0.1743,0,30930,0.2367,0.7633,0.3927,0.334,0.07,0.0158,0.0043,0.0017,8658,0,55401,0
126775,Colorado School of Mines,www.mines.edu,39.75079,-105.227148,0.3647,88,590,680,640,720,560,650,635,680,605,28,32,26,32,28,33,8,9,30,29,31,9,1333,0,0,0,0,0,0,0.0394,0,0,0.874,0,0,0,0,0,0,0,0,0.0472,0,0,0,0,0,0.0315,0,0,0,0,0.0079,0,0,0,0,0,0,0,0,30154,0.7337,0.2663,0.7525,0.0096,0.076,0.0454,0.0023,0.0005,4383,11,80401,0.012235818
127060,University of Denver,www.du.edu,39.695954,-104.964625,0.7649,88,550,640,560,660,510,620,595,610,565,25,30,24,32,24,29,8,9,28,28,27,9,1231,0,0.0165,0,0.0031,0.0904,0,0.0197,0,0,0.0204,0,0.0181,0,0.011,0.0354,0,0,0.0778,0.0118,0,0.0118,0,0.0024,0,0.0197,0,0.0684,0,0.0086,0.1619,0,0,0,0,0.0928,0,0.3145,0.0157,55476,0.4646,0.5354,0.6763,0.0266,0.0908,0.0425,0.0043,0.0014,5629,19,80208,0.021134594
127741,University of Northern Colorado,www.unco.edu,40.403178,-104.701721,0.7088,256,480,570,470,590,NULL,NULL,525,530,NULL,19,25,18,25,19,25,NULL,NULL,22,22,22,NULL,1033,0,0,0,0.0052,0.0694,0,0,0,0.0456,0,0,0.0204,0,0,0.0276,0,0,0.0219,0.0171,0,0.1607,0.0842,0.0062,0,0.0262,0,0.0647,0.0528,0,0.0685,0,0,0,0,0.059,0.1579,0.0846,0.0281,19187,0.363,0.637,0.5633,0.0412,0.1727,0.0161,0.0034,0.0023,9104,169,80639,0.187986652
129020,University of Connecticut,uconn.edu/,41.806261,-72.247969,0.4996,58,550,650,590,690,560,660,600,640,610,26,30,NULL,NULL,NULL,NULL,NULL,NULL,28,NULL,NULL,NULL,1246,0.0377,0.0167,0.0025,0.0036,0.076,0,0.0056,0,0.0193,0.0835,0,0.0103,0.0396,0,0.0421,0.0529,0,0.0843,0.0182,0,0.0167,0.0029,0.0019,0,0.0103,0,0.077,0,0.0002,0.1184,0,0,0,0,0.022,0.1235,0.1117,0.023,26966,0.5037,0.4963,0.6168,0.0509,0.0848,0.098,0.0012,0.0005,18016,187,6269,0.208008899
130794,Yale University,www.yale.edu,41.311158,-72.926688,0.063,3,710,800,700,800,710,790,755,750,750,31,35,NULL,NULL,NULL,NULL,NULL,NULL,33,NULL,NULL,NULL,1493,0,0.0141,0.0126,0.0521,0,0,0.0246,0,0,0.0573,0,0.0201,0,0,0.067,0.0156,0,0.1004,0.026,0,0.0804,0,0.0238,0,0.0417,0,0.0647,0,0,0.2626,0,0,0,0,0.064,0,0,0.0729,61620,0.5098,0.4902,0.4705,0.0678,0.11,0.1655,0.0064,0,5473,33,6520,0.036707453
130943,University of Delaware,www.udel.edu/,39.6795744,-75.7529169,0.6783,76,530,640,550,660,530,640,585,605,585,24,29,24,30,24,29,8,9,27,27,27,9,1194,0.0194,0.0186,0.0017,0.0055,0.0273,0,0.0097,0,0.0826,0.1,0.0025,0.0124,0.0181,0,0.0303,0.068,0,0.0476,0.0099,0,0.0139,0.0509,0.0027,0,0.0124,0,0.0372,0,0.0305,0.095,0,0,0,0,0.0241,0.0881,0.1697,0.0218,23357,0.4247,0.5753,0.7517,0.055,0.0721,0.0443,0.0007,0.0009,18222,226,19716,0.251390434
131113,Wilmington University,www.wilmu.edu,39.682299,-75.586998,NULL,280,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0.0045,0.0123,0.0632,0,0.0827,0,0,0,0,0.0117,0,0.0878,0,0,0,0,0.1135,0.0073,0,0,0,0,0.0676,0.0727,0,0,0,0,0,0,0.0045,0.1867,0.2856,0,17043,0.3568,0.6432,0.5123,0.2437,0.0318,0.0175,0.0135,0.0029,8671,0,19720,0
131159,American University,WWW.AMERICAN.EDU,38.937802,-77.090106,0.4584,71,590,680,560,660,580,670,635,610,625,26,30,25,32,24,29,8,10,28,29,27,9,1252,0,0.013,0,0.013,0.0983,0.0096,0.0051,0,0.0062,0,0,0.0169,0,0.0237,0.0113,0.0028,0,0.0164,0.0096,0,0.0373,0,0.0119,0,0.004,0,0.0294,0.0181,0,0.4198,0,0,0,0,0.0548,0.0232,0.1588,0.0169,56620,0.3789,0.6211,0.5765,0.0644,0.1081,0.0661,0.0016,0.0006,7094,3,20016,0.003337041
131469,George Washington University,www.gwu.edu,38.89865,-77.047871,0.4379,54,590,690,610,700,610,700,640,655,655,27,31,28,33,26,31,8,9,29,31,29,9,1297,0,0.0075,0,0.0169,0.0379,0,0.0144,0,0,0.0438,0,0.0056,0,0,0.0188,0.0028,0,0.026,0.0066,0,0.0019,0.0078,0.01,0,0.0085,0,0.046,0.0197,0.005,0.2905,0,0,0,0,0.0178,0.2771,0.1174,0.0178,61394,0.442,0.558,0.5835,0.0628,0.077,0.0995,0.0015,0.0011,10433,12,20052,0.013348165
131496,Georgetown University,www.georgetown.edu,38.908809,-77.073463,0.1735,21,660,760,660,760,NULL,NULL,710,710,NULL,30,33,NULL,NULL,NULL,NULL,NULL,NULL,32,NULL,NULL,NULL,1414,0,0,0,0.0138,0,0,0.0072,0,0,0,0,0.0512,0,0,0.0518,0.0193,0,0.0595,0.0187,0,0.0551,0,0.0121,0,0.0094,0,0.0419,0,0,0.3653,0,0,0,0,0.0165,0.0953,0.1647,0.0182,62179,0.4531,0.5469,0.5813,0.0618,0.0784,0.096,0.0007,0.0004,7211,0,20057,0
131520,Howard University,www.howard.edu,38.920739,-77.019478,0.4841,145,500,610,490,610,490,600,555,550,545,21,27,21,29,20,26,NULL,NULL,24,25,23,NULL,1105,0,0,0.0115,0.0058,0.1852,0,0.0125,0,0,0.0509,0,0.0086,0.0269,0,0.025,0,0,0.0931,0.0115,0,0.0048,0.0115,0.0038,0,0.0173,0,0.095,0.0192,0,0.12,0,0,0,0,0.0298,0.1132,0.142,0.0125,41643,0.3254,0.6746,0.0144,0.9106,0.0037,0.0154,0.0115,0.0024,6961,1,20059,0.001112347
132471,Barry University,www.barry.edu,25.878865,-80.196136,0.4611,204,430,510,410,513,420,500,470,462,460,18,22,16,22,16,21,NULL,NULL,20,19,19,NULL,938,0,0,0,0,0.0375,0,0.0573,0,0.0177,0,0,0,0,0.0063,0.0083,0.0875,0,0.0677,0.0052,0,0,0.024,0.001,0.001,0.0094,0,0.0354,0,0.1385,0.0427,0,0,0,0,0.0396,0.2135,0.2063,0.001,43885,0.3856,0.6144,0.2004,0.3177,0.2867,0.0153,0.0038,0.0015,3913,0,33161,0
132657,Lynn University,www.lynn.edu,26.382777,-80.123851,0.7487,221,440,540,430,535,430,530,490,483,480,19,23,17,23,17,23,NULL,NULL,21,20,20,NULL,980,0,0,0,0,0.1197,0,0,0,0.0346,0,0,0,0,0,0.0027,0.0186,0,0.0399,0,0,0,0.0559,0,0,0,0,0.0904,0.0745,0.0213,0.0399,0,0,0,0,0.0771,0,0.4255,0,49535,0.5317,0.4683,0.4322,0.0905,0.1381,0.0136,0.0058,0.0016,1911,7,33431,0.007786429
132903,University of Central Florida,www.ucf.edu/,28.60106,-81.198805,0.4961,173,540,640,550,640,510,610,590,595,560,24,28,NULL,NULL,NULL,NULL,NULL,NULL,26,NULL,NULL,NULL,1185,0,0,0.0012,0.0005,0.0457,0,0.0219,0,0.0848,0.0612,0,0.003,0,0.0188,0.0202,0.0422,0,0.0472,0.0039,0,0.0503,0,0.0019,0,0.0042,0,0.0865,0.0386,0.0158,0.0462,0,0,0,0,0.0395,0.1414,0.2135,0.0116,19752,0.452,0.548,0.5519,0.1088,0.2303,0.0559,0.002,0.0023,52280,188,32816,0.209121246
133669,Florida Atlantic University,www.fau.edu/,26.372536,-80.102293,0.6603,213,480,570,480,570,470,560,525,525,515,21,25,20,25,19,25,7,8,23,23,22,8,1058,0,0,0.0223,0,0.0456,0,0.0169,0,0.0711,0.0449,0.0015,0.0061,0,0,0.0229,0.0866,0,0.0689,0.0061,0,0,0.0266,0.0034,0,0.0136,0,0.0706,0.0689,0.0348,0.0786,0,0,0,0,0.0277,0.0633,0.2101,0.0093,19310,0.435,0.565,0.4477,0.1965,0.2552,0.0395,0.002,0.0013,24228,19,33431,0.021134594
133881,Florida Institute of Technology,www.fit.edu,28.064503,-80.624628,0.6157,173,510,610,530,660,NULL,NULL,560,595,NULL,23,30,22,29,24,28,NULL,NULL,27,26,26,NULL,1176,0,0.0038,0,0,0.0171,0,0.0381,0,0.0038,0.4076,0.0133,0,0,0.0038,0,0.0038,0,0.0895,0.0324,0,0.0133,0.0057,0,0,0.0933,0,0.08,0,0,0,0,0,0,0.1124,0,0,0.0819,0,51312,0.7201,0.2799,0.4023,0.0582,0.0663,0.0254,0.0036,0.0045,3348,0,32901,0
133951,Florida International University,www.fiu.edu,25.757111,-80.377591,0.5278,214,500,590,490,580,490,580,545,535,535,22,26,20,26,21,26,7,8,24,23,24,8,1089,0,0.0042,0.0002,0.0036,0.0415,0,0.0244,0,0.044,0.0532,0.0063,0.0041,0,0,0.0243,0.0336,0,0.0627,0.0017,0,0.0016,0.011,0.0068,0,0.0147,0,0.1187,0.056,0.0264,0.0881,0,0,0,0,0.0207,0.0666,0.2761,0.0096,18784,0.4427,0.5573,0.0952,0.1215,0.671,0.0263,0.0007,0.0013,39102,105,33199,0.11679644
134097,Florida State University,www.fsu.edu,30.4421,-84.294801,0.5539,95,570,640,560,640,560,640,605,600,600,26,29,NULL,NULL,NULL,NULL,NULL,NULL,28,NULL,NULL,NULL,1228,0,0.008,0,0.0025,0.0351,0,0.0272,0,0.0303,0.0339,0,0.0093,0.0412,0,0.0516,0.0311,0,0.048,0.0093,0,0.0006,0.0439,0.0077,0,0.0143,0,0.0622,0.0656,0.0155,0.1775,0,0,0,0,0.0512,0.0311,0.1896,0.0134,21408,0.4513,0.5487,0.6576,0.0811,0.1797,0.0243,0.0027,0.0015,32432,406,32306,0.451612903
134130,University of Florida,www.ufl.edu/,29.649428,-82.339958,0.4561,48,580,670,590,690,580,670,625,640,625,26,31,25,32,25,30,8,9,29,29,28,9,1273,0.0566,0.0147,0.0119,0.002,0.0755,0,0.0077,0,0.0229,0.1156,0.0071,0.0243,0.0215,0,0.0248,0.0498,0,0.0972,0.0128,0,0.0146,0.0262,0.0061,0,0.0199,0,0.0495,0.0013,0,0.1243,0,0,0,0,0.0281,0.0616,0.1085,0.0152,20085,0.4502,0.5498,0.5783,0.0666,0.2003,0.0775,0.0025,0.006,31879,121,32611,0.134593993
135726,University of Miami,www.miami.edu/,25.720406,-80.27645,0.3818,48,600,690,620,730,590,690,645,675,640,28,32,28,34,27,33,8,9,30,31,30,9,1330,0,0.0144,0.0178,0.0015,0.0976,0,0.0102,0,0.0091,0.0692,0,0.0011,0.0042,0.0117,0.0132,0.0095,0,0.1483,0.0114,0,0.0015,0.0178,0.0057,0,0.0163,0,0.0666,0,0,0.1044,0,0,0,0,0.0651,0.104,0.1896,0.0098,59850,0.4901,0.5099,0.4257,0.074,0.2157,0.0573,0.0013,0.0015,10828,21,33146,0.023359288
136215,Nova Southeastern University,www.nova.edu,26.079337,-80.24248,0.4881,229,510,610,500,630,NULL,NULL,560,565,NULL,22,29,22,29,22,28,NULL,NULL,26,26,25,NULL,1143,0,0.0094,0,0,0.0145,0,0.0188,0,0.05,0,0,0,0,0.0348,0.0051,0.0123,0,0.1674,0,0,0,0.0362,0.0036,0,0,0,0.0652,0.0174,0.0014,0.0152,0,0,0,0,0.0087,0.3594,0.1797,0.0007,42261,0.3093,0.6907,0.3234,0.1814,0.3145,0.0792,0.0031,0.0004,4582,4,33314,0.004449388
138947,Clark Atlanta University,www.cau.edu,33.748772,-84.412818,0.8467,208,390,470,380,460,NULL,NULL,430,420,NULL,16,20,NULL,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL,860,0,0,0,0,0.1961,0,0.0196,0,0.0436,0,0,0.0022,0,0,0.0305,0,0,0.0828,0.0044,0,0,0,0.0044,0,0.0174,0,0.1569,0.0632,0.037,0.0523,0,0,0,0,0.1046,0,0.1721,0.0131,35471,0.2474,0.7526,0.0004,0.8664,0.0035,0.0019,0.0035,0,2567,7,30314,0.007786429
139658,Emory University,www.emory.edu,33.798836,-84.325782,0.2682,21,630,710,650,750,650,730,670,700,690,29,32,28,32,28,33,8,10,31,30,31,9,1366,0,0.0112,0,0.0133,0,0,0.0047,0,0.0056,0,0,0.0155,0,0,0.0215,0.1815,0,0.1497,0.0215,0,0.0323,0,0.0142,0,0.0275,0,0.0615,0,0,0.1776,0,0,0,0,0.0245,0.0753,0.1424,0.0202,59908,0.4358,0.5642,0.4072,0.0921,0.0712,0.2072,0.0018,0.0003,7730,16,30322,0.017797553
139931,Georgia Southern University,www.georgiasouthern.edu,32.427756,-81.782201,0.631,215,520,590,510,590,480,570,555,550,525,22,25,21,25,20,25,6,8,24,23,23,7,1099,0,0,0,0,0.0474,0.002,0.038,0,0.0713,0.0383,0.036,0.0135,0.0552,0,0.0235,0.0784,0,0.0505,0.005,0,0,0.0817,0.0037,0,0.0276,0,0.0548,0.0346,0,0.0478,0,0,0,0,0.0303,0.0629,0.1823,0.0151,21932,0.4991,0.5009,0.6267,0.2614,0.0455,0.0137,0.0048,0.0012,17232,154,30460,0.171301446
